# English method dictionary: word<TAB>Traditional Chinese candidate
# Generated from MCK-compatible English keys; project choices may override ambiguous mappings.
aardvark	土豬
glycoprotein	糖蛋白
glyph	字圖
gmt	車尾燈
gnaw	咬牙
gneiss	岩土體
go	個案
goal	目的
goalkeeper	守門員
goat	山羊
gobang	五子棋
gobble	大吃
gobetween	中間人
goble	鍾
goblet	高腳杯
goblin	小妖精
gobsmacked	大吃一驚
god	上天
godchild	教子
goddess	女神
godfather	大佬
godforsaken	蒙昧
godhead	神體
godmother	教母
gods	神明
goggleeyed	睍
goiter	癭
gold	金子
golden	金色
goldfish	金魚
goldsmith	金匠
golf	高爾夫
gomorrah	哈摩辣
gonad	生殖腺
gong	高昂
good	不賴
goodbye	再見
goodfornothing	窩囊
goodlooking	好看
goodnatured	心眼好
goodness	德
goodnight	晚安
goods	用品
goodtasting	腍
goodwill	親善
google	谷歌
goose	鵝
gore	血塊
gorge	報仇咁報
gorgeous	華麗
gorilla	大猩猩
goshawk	蒼鷹
gosip	政府機關開放系統互連總則
gospel	福音
gossip	說話
got	地位
gothic	哥特式
gourd	瓜
gourmet	美食家
gout	痛風
govern	統治
governance	管理
governess	姆
government	政府
governorgeneral	總督
gown	長袍
grab	抓住
grace	風度
graceful	風姿綽約
gracious	親切
grade	年級
grades	成績
gradient	梯度
gradual	進行性
gradually	一點一點
graduate	出師
graduation	畢業
graffiti	塗鴨
graft	椄
grain	質地
gram	公分
grammar	文法
gramophone	電唱
granada	格拉納達
granary	料倉
grand	雄偉
granddaughter	外孫女
grandee	元老
grandeur	高貴
grandiose	堂而皇之
grandma	外婆
grandmother	婆
grandnephew	侄孫
grandpa	外公
grandparents	祖
grandson	外孫
granite	花崗石
granny	老大孃
grant	發放
granule	顆粒
granulocyte	粒細胞
grape	提子
grapefruit	葡萄柚
grapes	葡
grapheme	字素
graphic	圖像
graphite	石墨
grapsus	蜞
grasp	把握
grass	青草
grasshopper	螞蚱
grassland	草原
grassy	如草
grate	切成絲
grateful	感謝
graticule	標線
gratify	使高興
gratifying	可喜
gratings	櫳
gratitude	謝意
gratuity	小費
grave	重症
graveclothes	襚
gravel	碎石
gravely	碎石
gravestone	墓碑
gravitation	地心吸力
gravity	地心吸力
gravure	凹版
gravy	調味肉汁
gray	灰色
graying	斑白
graze	放牧
grease	油脂
greasy	膩
great	重大
greatest	莫大
greatgranddaughter	曾孫女
greatgrandmother	太婆
greatgrandson	曾孫
greatgreatgrandfather	高祖父
greatgreatgrandmother	高祖母
greatgreatgrandson	玄孫
greatly	大大
greatness	謷
greece	希臘
greed	貪慾
greedy	貪心
green	綠色
greenfrog	蚔
greenhorn	菜鳥
greenhouse	溫室
greenishblue	翠綠
greenland	格陵蘭
greenpeace	綠色和平組織
greens	菜茹
greenwich	格林威治
greet	迎接
greeter	招待員
greetings	恭喜
gregarious	喜群飛
grenada	格林納達
greyhound	灰獵犬
grid	網格
griddle	鐺
grief	沉痛
grievance	不平
grieve	傷心
grieved	痛心
grievous	凄切
grill	燒烤
grim	嚴酷
grimace	做鬼臉
grin	咧嘴
grind	打磨
grindstone	磨
grip	把手
gristle	腱
grit	沙子
gritty	磣
grizzled	斑白
grizzly	灰色
groan	呻吟
grocer	雜貨商
groceries	雜貨
groningen	格羅寧根
groom	馬伕
groove	溝道
grope	摸索
groping	倀
grossulariaceae	蔦
grotesque	奇醜
grotto	小岩洞
ground	地面
groundbreaker	開辟者
groundbreaking	開拓性
groundhog	土撥鼠
groundless	莫須有
groundnut	花生
groundwater	地下水
group	大隊
grouping	成群
grouse	松雞
grove	小樹林
grovel	拜倒
grow	生長
growl	咆哮
grownup	大人
growth	成長
grub	蝤
grudge	遺恨
gruel	稀飯
gruff	粗糙
grumble	訴苦
grunt	咕嚕
guadalajara	瓜達拉哈拉
guadeloupe	瓜德羅普
guam	關島
guangzhou	廣州
guanidine	胍
guano	鳥糞
guantanamo	關塔那摩
guanxi	關係
guarantee	保證
guarantor	保證人
guard	看守
guardian	保護人
guatemala	危地馬拉
guatemalan	危地馬拉人
guess	猜想
guessing	揣測
guest	來客
guesthouse	賓館
guests	賓客
guffaw	爆笑
gui	畿內亞
guidance	訓迪
guide	提攜
guideline	指引
guidelines	機宜
guild	公會
guileless	無罪
guilin	桂林市
guilt	罪責
guilty	有過錯
guinea	幾內亞
guineabissau	幾內亞比紹
guitar	吉他
guiyang	貴陽市
gujarat	古吉拉特邦
gulf	鴻溝
gulley	溝谷
gully	山溝
gulp	牛飲
gum	關島
gums	關你咩事
gun	火炮
gunboat	砲艦
gunfire	炮火
gunman	火槍手
gunmen	武裝份子
gunner	炮兵
gunpowder	火藥
gunship	砲艦
gush	涌流
gusset	袼
gust	陣風
gut	腸道
gutless	怯懦
guts	關你柒事
gutter	排水溝
guy	圭亞那
guyana	圭亞那
gym	過一晚
gymnasium	體育場館
gymnastic	體操
gymnastics	體操
gynecology	婦科
gypsum	石膏
gypsy	吉普賽人
gyroscope	陀螺
gyuumao	牛魔王
habit	習慣
habitat	生境
habitation	住所
hack	入侵
hacker	黑客
had	得閑
hades	陰間
haggard	憔悴
haggle	計較
haiku	俳句
hail	冰雹
hailstone	冰雹
hailstorm	雹暴
hair	頭髮
hairdo	髮型
hairdresser	美髮師
hairdressing	理髮
hairless	無毛
hairnet	髮網
hairpin	釵
hairraising	動魄驚心
hairstyle	髮型
hairy	毛茸茸
hal	蓋亞那
halcyon	翡翠
half	一半
halfandhalf	對半
halfconscious	迷幻
halfcourt	半場
halflife	半排出期
halfmast	半旗
halfmoon	半月
halfnaked	半裸體
halfprice	折半
halfway	半中腰
halibut	大比目魚
halifax	哈利法克斯
halite	礦鹽
halitosis	口臭
hall	大廳
hallow	神聖
halloween	萬聖節
hallucinate	產生幻覺
hallucinations	幻覺
hallucinogen	迷幻藥
hallway	走廊
halo	日月暈
halogenation	鹵化
halt	失匙夾萬
halter	羈
ham	漢堡機場
hamburger	漢堡包
hamlet	小村莊
hammer	榔頭
hammock	吊床
hamper	妨礙
hamster	倉鼠
hamstrings	肌腱
hand	得閑
handbag	提包
handbasin	盥洗
handbook	手冊
handcraft	手工藝
handcuffs	手銬
handful	滿手
handicapped	殘廢
handicraft	手工業
handiwork	工藝品
handkerchief	手帕
handle	過來
handpicked	精選
handsome	英俊
handtohand	廝殺
handwork	手工
handwriting	手寫
handy	便當
hang	好硬
hanged	上吊
hangeron	門客
hangerson	人從
hangman	吊死鬼
hangover	宿醉
hangzhou	杭州市
hanover	漢諾威
hans	貿易發展局
happen	發生
happening	事情
happiness	幸福
happy	得意忘形
harangue	高談闊論
harass	使困擾
harbin	哈爾濱市
harbor	海港
harbour	海港
hard	努力
harden	使硬化
hardiness	耐受力
hardly	幾乎不
hardness	硬度
hardpressed	窘迫
hardship	受苦
hardships	受罪
hardware	硬件
hardwood	硬木
hardworking	刻苦
hardy	耐勞
hare	野兔
haricot	扁荳
harm	行開咗
harmed	受傷
harmful	不利
harmfulness	危害性
harmless	無害
harmonica	口琴
harmonious	和美
harmoniously	和睦相處
harmonium	簧風琴
harmonize	調節
harmony	和聲
harness	馬具
harp	豎琴
harpoon	魚叉
harpsichord	哈普西科德
harrow	耙
harry	哈利
harsh	嚴酷
harshly	著實
hart	行開啦
hartford	哈特福德
harvest	成果
has	好嘔心
haste	勷
hasten	趕忙
hastily	急忙
hastiness	翛
hasty	輕率
hat	好歹
hatch	報窩
hatchet	斧子
hatchway	天窗
hate	討厭
hateful	可惡
hatred	嫌惡
haughtiness	傲氣
haughty	狂傲
haul	拖曳
haulage	運輸
haunt	常去
haunted	困擾
have	有著
haven	避難所
hawaii	夏威夷
hawk	兜售
hawks	主戰派
hawser	鋼絲繩
hawthorn	楂
hay	好銀耳
hazard	風險
haze	煙霞
hazelnut	榛子
hazy	迷茫
hbomb	氫彈
hd	起底
he	台灣
head	為首
headache	頭痛
headband	束髮
headboard	榪
header	書眉
heading	標題
headland	埼
headlight	車前燈
headline	要聞
headlong	一頭
headmaster	校長
headnotes	眉批
headon	迎頭痛擊
headphone	耳機
headphones	耳機
headquarters	大本營
headscarf	包巾
headsman	劊子手
headstream	源流
headstrong	任性
headtotail	吳頭楚尾
heal	治癒
healed	全復
health	身體
healthy	硬朗
heap	堆
hear	聽到
heard	聽說
heardhearted	心硬
hearing	聽力
hearken	聽從
hearsay	傳言
hearse	殯車
heart	中心
heartbeat	心音
heartbroken	心碎
heartfelt	真心
hearth	爐床
heartless	不仁
heartrending	凄愴
heartstrings	心弦
heat	熱力
heated	受熱
heater	暖氣
heath	石南樹
heathen	異教徒
heathenism	異教
heather	石南屬
heating	加熱
heatresistant	耐高溫
heatstroke	中暑
heave	舉起
heaven	上天
heavenly	天上
heavens	老天
heavilyguarded	戒備森嚴
heavy	重型
heavyduty	繁重
heavyhanded	粗笨
heavyweight	重量級
hebrew	希伯來
hectare	公頃
hectogram	公兩
hectoliter	公石
hectometer	公引
hed	看清楚
hedge	不置可否
hedgehog	刺蝟
hedonism	享樂主義
hedonist	享受主義者
hedysarum	蒢
heed	理睬
heedless	不小心
heel	高跟鞋
hegemon	霸主
hegemony	霸氣
heidelberg	海德堡
heidi	海迪
heifer	小牝牛
height	個子
heighten	增高
heir	自治
helicolenus	鱖
helicopter	直升機
hell	地獄
hello	你好
helm	舵
helmet	頭盔
helmsman	舵手
help	有助
helper	手臂
helpful	有幫助
helpless	無能為力
helplessness	無助
helterskelter	繽
hem	喬治亞
hematoma	血腫
hematuria	血尿
heme	血色素
hemisphere	半球
hemlock	毒草名
hemochromatosis	血色素沉積症
hemocyte	血球
hemoglobin	血色素
hemogram	血象
hemophilia	血友病
hemorrhage	出血
hemorrhoid	痔瘡
hemp	大麻
hen	台灣
henan	汴
henbane	菪
hence	以此
henceforth	自此
henchman	家臣
henchmen	黨羽
hepatitis	肝炎
hepta	庚
heptagon	七邊形
her	生活
herald	先鋒
herb	香草
herbicide	除草劑
herbivore	草食動物
hercules	大力士
herd	香港哋
herdsman	牧民
here	在這裡
hereafter	此後
hereby	由此
hereditary	世襲
heredity	遺傳
herein	在此處
heresy	異教
heretic	異教徒
hereto	在此
heretofore	此時以前
hereunto	到此
herewith	茲
heritage	遺產
hermaphrodite	兩性
hermaphroditism	雌雄同體
hermeneutics	詮釋學
hermit	隱士
hernia	疝
hero	英雄
heroic	英雄式
heroin	白麵兒
heroine	女英雄
heron	蒼鷺
herring	青魚
herself	她自己
hertz	赫茲
herzegovena	黑塞哥維那
hes	自治區
hesitancy	猶豫不決
hesitant	踟
hesitate	遲疑
hesitating	躑
hesitation	疑慮
hetero	異種
heterogeneous	異質
heterosexual	兩性
heterosexuality	異性戀
heterotype	異形
hew	生活圈
hewitt	休伊特
hewlettpackard	惠普
hewn	生活圈子
hexa	己
hexadecimal	十六進制
hexagon	六邊形
hexagonal	六方
hey	學海
hiatus	缺失
hibernate	越冬
hibernation	蟄伏
hiccough	呃
hiccup	打嗝
hick	鄉巴佬
hickory	山胡桃木
hid	怎麼樣
hidden	不可告人
hide	怎麼樣
hideous	可怕
hideout	巢穴
hierarchical	階級式
hierarchy	等級制度
high	高
highclass	優等
higher	高等
highest	最高
highestlevel	最高
highhanded	高壓
highland	高地
highlight	略舉
highly	高度
highness	高度
highranking	高級
highspeed	快速
highspirited	昂揚
highway	高速路
hijack	劫道
hijacking	劫機
hike	遠足
hiking	徒步旅行
hilarious	搞笑
hilarity	狂歡
hill	小山
hills	丘陵
hillside	山坡
hilltop	山頂
hilly	巋
hilt	柄
him	的式
himalayas	喜馬拉雅山
himself	他自己
hinder	妨礙
hindi	北印度語
hindrance	障礙
hinduism	印度教
hindustan	印度斯坦
hinge	合頁
hint	提示
hinterland	腹地
hippie	嘻皮
hippocampus	海馬迴
hippopotamus	河馬
hire	招收
hiroshima	廣島
hirudin	水蛭素
hirudinea	蛭
his	學成
hiss	嘶嘶聲
histamine	組織胺
histogram	分布圖
histology	組織學
histoplasmosis	組織胞漿菌病
historian	史學家
historic	歷史性
historical	歷史上
history	來歷
hit	好熱
hitch	拴住
hitchhike	便車
hither	到此處
hiv	愛滋病毒
hive	蜂房
hk	香港
ho	我們
hoard	貯藏
hoarding	廣告牌
hoarse	沙啞
hoax	糗大
hobby	愛好
hobbyist	業餘愛好者
hobgoblin	鬼怪
hockey	曲棍球
hoe	從優
hoffman	霍夫曼
hog	得個吉
hoist	升起
hokkaido	北海道
hold	把握
holdall	手提包
holder	持有人
holdup	延誤
hole	漏洞
holiday	放假
holistic	完形
holland	荷蘭
hollow	空心
holly	冬青
hollyhock	蜀葵
hollywood	好萊塢
holocaust	大屠殺
holocene	全新紀
hologram	立體圖
holy	神聖
home	家裡
homecoming	臨門
homeland	故鄉
homeless	無家可歸
homemade	自製
homer	待價而沽
homesick	想家
homesickness	鄉情
homestead	家園
hometown	家鄉
homeuse	家用
homework	家課
homicide	殺人
homing	尋的
hominid	類人猿
homocide	謀財害命
homogeneity	均勻性
homogeneous	同質
homogenized	均質
homogenous	均質
homologous	對應
homosexual	同性
homosexuality	同性戀
honduras	洪都拉斯
honest	清廉
honestly	實在
honesty	誠信
honewort	車軸草
honey	蜜糖
honeybee	蜜蜂
honeycomb	蜂房
honeydew	哈密瓜
honeymoon	蜜月
honeysuckle	金銀花
hongkong	香港
honk	嘎嘎
honor	名譽
honorable	正經
honorarium	謝禮
honorary	名譽
honorbound	誓約
honored	榮幸
honorific	美稱
honour	名譽
honshu	本州
hood	我個仔
hoodlum	光棍
hoodwink	欺瞞
hoodwinked	受騙
hoof	我信你
hook	學人做
hooker	妓女
hoop	籃圈
hoopoe	鵀
hoot	後會無期
hop	生化
hope	期望
hopeful	有望
hopefully	但願
hopeless	不可收拾
hops	算係乜
horizon	天邊
horizontal	水平
hormone	激素
horn	私人嘢
hornbill	犀鳥
horns	觡
hornshaped	角
horny	好色
horoscope	運勢
horrible	可怕
horrified	竦
horrify	驚嚇
horse	告假
horseback	馬背
horsebit	鑣
horseleech	蟥
horsemanship	馬術
horsepower	馬力
horseradish	山葵
horses	馬匹
horseshoe	馬蹄
horsewhip	馬鞭
horticultural	園藝
hose	長襪
hospitable	好客
hospital	醫院
hospitality	好客
host	主人
hostage	人質
hostel	宿舍
hostess	女主人
hostile	懷敵意
hostility	敵對性
hosts	賓主
hot	學位
hotan	和田
hotel	客棧
hotheaded	魯莽
hotline	熱線
hottempered	躁
hotter	較熱
hound	獵犬
hour	小時
house	住舍
housefly	蠅子
household	家人
householder	住戶
housekeeper	女管家
housekeeping	家政
housetop	房頂
housewife	家庭主婦
housework	家事
housing	住房
houston	休斯頓
hover	盤旋
hovercraft	氣墊船
how	為何
howard	霍華德
however	不過
howitzer	榴彈炮
howl	狂吠
hoya	剩係識
hp	可比
htc	好大隻
html	超文本標記語言
http	白花花
hub	中心
huddle	蜷縮
hue	鳳山溪
hug	行出去
huge	移山填海
hull	搗
hullabaloo	喧嘩
hum	烏山頭
human	人性
humane	有人情
humanism	人文主義
humanitarian	慈善家
humanitarianism	人道
humanities	人文
humanity	人性
humble	微微
humboldt	洪堡
humerus	肱骨
humid	滋潤
humidifier	加濕氣
humiliate	羞辱
humiliated	受辱
humiliating	屈辱
humiliation	丟臉
humility	謙遜
hummingbird	蜂鳥
humor	風趣
humorous	風趣
humour	幽默
humpback	駝
hunanguizhou	湘黔
hunchback	僂
hunchbacked	踽
hundred	百
hundreds	成百上千
hung	空
hungary	匈牙利
hunger	肚餓
hungry	肚餓
hungrylooking	薖
huns	匈奴
hunt	打獵
hunter	亨特
hunting	捕獵
huntingdog	狩
huqin	胡琴
hurdle	欄
hurdling	跨欄比賽
hurdygurdy	手搖風琴
hurl	投擲
hurricane	龍捲風
hurried	急速
hurriedly	趕緊
hurry	趕忙
hurt	使受傷
husband	愛人
hush	舟山群島
hushhush	神不知鬼不覺
husk	糠
husks	秕
husky	粗啞
hut	小屋
hybrid	合成物
hydrangea	繡球花
hydraulic	水力
hydraulics	水力學
hydrocarbon	烴
hydrocephalus	腦水腫
hydrochloride	鹽酸鹽
hydrodynamics	流體力學
hydroelectricity	水力發電
hydrofoil	水翼船
hydrogen	氫
hydrogenation	氫化
hydrology	水文
hydrophobia	瘈
hydrosulfuryl	巰
hydroxide	氫氧化物
hydroxyl	羥基
hydroxylamine	胲
hyena	鬣狗
hygiene	衛生
hymen	處女膜
hyminal	安眠酮
hymn	自主研發
hyper	極超
hyperactive	過度活躍
hyperbola	雙曲線
hyperglycemia	高血糖
hyperinflation	惡性通貨膨脹
hyperlink	超連結
hypermedia	超媒體
hypersensitive	過敏性
hypersensitivity	超敏反應
hyperspace	超維空間
hypertension	高血壓
hypertext	超文本
hypertrophy	腫大
hyphen	各處
hypnosis	催眠
hypnotism	催眠術
hypnotize	催眠
hypocenter	震源
hypocrite	偽善者
hypocritical	虛偽
hypotenuse	弦
hypothesis	說法
hypothetical	假定
hysterical	狂亂
hz	可就
iambic	抑揚格
ian	應門
iberia	伊比利亞
ibis	朱鷺
ibm	應用到
ic	我請
ice	冰
iceberg	冰山
icebound	冰封
icebox	冰箱
icecap	冰帽
icecold	冰冷
icecream	雪糕
iced	加冰塊
icehouse	冰窖
iceland	冰島
icelolly	冰糕
icesports	冰上運動
ichthyology	魚類學
ichthyosaur	魚龍
icicle	冰柱
icing	糖汁
icosahedron	二十面體
id	我地
ida	麻木晒
idaho	愛達荷
idea	了解
ideal	理想
idem	同上
identical	同一
identification	驗明正身
identifier	識別號
identify	認同
identity	身分
ideograph	表意文字
ideographic	表意
ideology	意識形態
idiocy	白痴
idiom	成語
idiot	大愚
idle	空暇
idleness	怠惰
idol	偶像
ieee	電機及電子學工程師聯合會
if	是否
ignite	發火
ignominious	可恥
ignorance	無知
ignorant	疑冰
ignore	不問
ignoring	任由
igor	伊戈爾
ikebana	插花
iliescu	伊利埃斯庫
ilium	髂
ill	不善
illegal	不法
illegitimate	非婚生
illicit	曖昧
illinformed	孤陋
illinois	伊利諾
illiterate	不識字
illlooking	痯
illness	病症
illtimed	不入時宜
illuminate	點亮
illumination	光照
illusion	錯覺
illusory	虛無縹緲
illustrate	說明
illustration	實例
illustrator	畫插圖者
illustrious	顯赫
ilmi	臨時的本地管理接口
im	我們
image	相片
imaginary	假想
imagination	想像力
imaginative	富於想像
imagine	想像
imaging	成像
imaginings	胡思亂想
imbalance	失調
imbecile	痴
imbecility	痴獃
imbue	漸
imf	永不
imitate	照搬
imitation	模擬
immeasurable	不貲
immediate	立即
immediately	當下
immemorial	太古
immense	巨大
immerse	沉浸
immersion	浸沒
immigrant	移民
immigrate	移民
immigration	移居
imminent	即將來臨
immobile	靜止
immoderate	無度
immoral	不道德
immorality	亂倫
immortal	不朽
immortality	不朽
immovables	不動產
immune	免疫
immunity	免疫力
immunization	免疫法
immunology	免疫學
impact	影響
impairment	損傷
impale	刺穿
impart	傳人
impartial	不偏不倚
impartiality	中立性
impartially	秉公
impassable	不可逾越
impasse	僵局
impassioned	切激
impatience	不耐煩
impatient	不耐煩
impeach	彈糾
impeccable	一百一
impedance	阻抗
impede	拖後腿
impediment	故障
impel	感召
imperative	急迫
imperceptive	眛
imperfect	不完美
imperial	帝國
imperialism	帝國主義
impermanence	無常
impermanent	與時消息
impermeable	不透水
impermissible	不興
impersonate	假冒
impertinent	不遜
impete	罥
impetuous	急於求成
impetus	衝動
impinge	衝撞
implant	注入
implement	實現
implicate	拖累
implicated	牽涉
implication	含意
implicit	含蓄
implode	內爆
implore	哀求
imply	意指
impolite	不客氣
import	進口
importance	重要性
important	要緊
importune	強求
impose	加﹍於
imposing	威嚴
impossibility	不可能的事
impossible	不可能
impostor	冒牌
impoverished	窮苦
impracticable	不切實際
impractical	迂遠
imprecise	不准確
impregnated	受胎
impress	令人欽佩
impression	印象
impressionism	印象派
impressions	感想
impressive	深刻印象
imprint	印記
imprison	下獄
imprisoned	坐牢
imprisonment	坐牢
improbable	不會
impromptu	即興
improper	不當
improve	好轉
improvement	進步
improvise	湊合
impulse	衝動
impulsive	衝動
impure	濁
impurity	雜質
in	秘魯
ina	印尼
inability	無能
inaccessible	閉塞
inaccuracy	誤差
inaccurate	不精確
inactive	消極
inadequate	不夠
inadvertent	無意
inadvisable	不宜
inalienable	不可分割
inanimacy	非動物性
inappropriate	不當
inarticulate	口齒不清
inasmuch	因﹍之故
inaugural	處女
inaugurate	開幕
inauguration	就職典禮
inauspicious	不吉
inbetween	中間人
inborn	天性
inbox	收件箱
inbreeding	近親交配
incalculable	不可估量
incandescence	白熱
incapable	無能
incapacitated	瘝
incense	香氣
incentive	獎酬
incessant	不停
incessantly	不已
incest	亂倫
inch	英吋
incident	事變
incidentally	附帶
incision	刀口
incisive	精闢
incisor	門齒
incite	授意
inclination	心思
incline	偏向
inclined	頗
include	並把
included	其內
including	在內
incoherent	顛三倒四
income	進賬
incomparable	曠世
incompatible	不相容
incomplete	未成
incomprehensible	費解
incomprehension	不懂
inconceivable	不可思議
inconsiderate	心眼小
inconsistency	誤區
inconsistent	不符
inconspicuous	不起眼
incontrovertible	顛撲不破
inconvenience	不方便
inconvenient	不方便
incorporate	包括
incorporated	公司
incorporeal	無形
incorrect	不對
incorrigible	不可救藥
incorrupt	廉
incorruptible	廉潔
increase	提高
increasingly	日益
incredible	難以置信
increment	差分
incubate	孵化
inculcate	灌輸
incur	招來
incurable	不可救藥
indebted	負債
indecent	不適當
indecipherable	漶
indecision	猶豫不決
indecisive	朝三暮四
indeed	的確
indefatigable	不倦
indefinite	不定
indelible	不可磨滅
indentation	凹
indentity	身分
independence	獨立
independent	自立
indescribable	不可名狀
indeterminate	不定
index	下標
india	印度
indiana	印第安納州
indicate	表明
indication	表示
indicator	表徵
indifference	不重視
indifferent	無動于衷
indigenous	原地
indigestion	消化不良
indignant	不平
indigo	靛青
indirect	曲線
indiscretion	語失
indiscriminate	不分情由
indiscriminately	不分青紅皂白
indispensable	不可缺少
indisposed	不適
indisposition	病痛
indisputable	顛撲不破
indissoluble	不解
indistinct	模糊
individual	個人
individualism	個人主義
individuality	個性
individually	逐
indivisible	不可分割
indomitable	不屈不撓
indonesia	印尼
indoor	室內
indoors	在室內
induce	誘導
inducement	誘因
inductance	電感
indulge	放任
indulgence	嗜好
industrial	工業
industrialist	實業家
industrialization	工業化
industrialize	工業化
industrious	辛勤
industry	工業
inedible	不可食用
ineffable	莫名
ineffective	無效
inefficient	否有效
inelegant	俗氣
inequality	不等
ineradicable	難以抹去
inert	無生命
inertia	慣性
inessential	非必需
inestimable	不可估量
inevitable	必然
inevitably	必將
inexhaustible	不窮
inexpensive	便宜
inexperienced	沒經驗
inexpert	二把刀
infamous	臭名昭著
infancy	嬰兒期
infant	嬰兒
infantile	稚
infantry	步兵
infantryman	步兵
infarction	梗死
infatuate	迷住
infatuated	心馳神往
infect	感染
infection	感染
infer	推論
inference	論斷
inferior	低等
infernal	地獄
infertile	荒瘠
infertility	不孕
infidelity	異心
infiltrate	混進
infinite	澒
infinitesimal	無限小
infinitive	不定詞
infinity	淼
infirmity	癃
inflamation	發炎
inflame	激起
inflamed	紅腫
inflammable	可燃
inflammation	炎症
inflate	打氣
inflation	通貨膨脹
inflection	抑揚頓挫
inflexible	一把死拿
inflorescence	花序
influence	感染
influential	有影響
influenza	流感
inform	關白
informal	非正式
information	資訊
informationgathering	情報
infra	次
infrastructure	公共建設
infrequent	少有
infringe	違犯
infringement	侵權
infuriate	激怒
infuriated	氣衝牛斗
ingenious	有創造力
ingeniousness	靈氣
ingenuity	創造力
ingest	吸收
ingot	錠
ingredient	成分
ingredients	成份
inhabit	居住於
inhabitant	住戶
inhale	吸入
inhaler	吸入器
inherent	本質上
inherit	繼承
inheritance	世襲
inherited	遺傳性
inheritress	女繼承人
inhibit	壓制
inhibition	抑制作用
inhibitor	抑制劑
inhomogeneous	不均勻
inhuman	不人道
inimical	對頭
iniquitous	邪
initial	最初
initiate	發起
initiative	積極性
initiator	發起人
inject	投入
injection	投入
injunction	禁制令
injure	打傷
injured	受傷害
injury	受傷
injustice	不公正
ink	篇幅
inkstand	墨水瓶架
inkstone	硯
inland	內地
inlaws	姻親
inlay	鑲嵌
inn	我愛你
innate	天生
inner	內在的
inning	一局
innocence	無辜
innocent	天真
innovate	推陳出新
innovation	原創
innovative	開創性
innsbruck	因斯布魯克
innumerable	不可勝數
inoculate	接種
inopportune	不入時宜
input	輸入
inquire	質問
inquiry	調查
insane	有精神病
insanity	精神錯亂
insatiable	貪婪
inscribe	刻寫
inscription	題字
insect	蟲子
insecticide	殺蟲劑
insecure	不安全
insemination	受精
insensible	沒有知覺
inseparable	不可分離
insert	穿插
inside	之中
insider	知內情者
insight	深刻見解
insightful	精闢
insignia	像章
insignificant	無關緊要
insincere	嚚
insinuate	隱射
insipid	清淡
insist	堅持
insistence	強求
insolent	粗野
insoluble	不溶
insouciance	無憂無慮
inspect	考察
inspection	檢驗
inspector	檢查員
inspectorgeneral	總監
inspiration	感染力
inspire	激起
inspiring	令人振奮
instability	不穩性
install	設定
installation	設施
installations	設備
installed	配用
installment	分期付款
instance	比方
instant	立即
instantaneous	瞬時
instantly	即刻
instead	代替
instep	趺
instigate	點鬼火
instinct	天性
institute	學會
institution	機構
instruct	教導
instruction	教導
instructive	教育性
instructor	教員
instrument	工具
insufficient	不到
insula	腦島
insulate	隔離
insulation	隔熱材料
insulin	胰島素
insult	糟踏
insulted	受辱
insuperable	不可逾越
insurance	保險
insure	保險
insurgent	反叛份子
insurmountable	不可逾越
insurrection	起義
intact	完好
intaglio	凹版
intangible	不實在
integrate	打成一片
integrated	格式塔
integration	嵌入
integrity	人格
intel	英代爾
intellect	理智
intellectual	知識
intelligence	情報
intelligent	有才智
intelligentsia	知識份子
intelligibility	可懂度
intelligible	憭
intemperate	荒唐
intend	有意
intense	強烈
intensely	苦
intensify	加劇
intensity	強度
intensive	密集
intent	意圖
intention	用心
intentional	成心
intentionally	有意
intently	一心一意
inter	下葬
interact	相互作用
interaction	相互作用
interactive	互動
interactively	雙向
intercalary	閏
intercede	說情
intercept	要擊
interchangeable	通用
intercollegiate	校際
intercom	對講電話
intercommunicate	互通
intercommunication	互相溝通
interconnected	互聯
interconnection	互連
intercontinental	洲際
intercourse	性關係
intercropping	套作
intercultural	跨文化
interdependent	互相依存
interdict	阻斷
interdisciplinary	交叉學科
interest	愛好
interested	有興趣
interesting	有意思
interface	接口
interfere	干擾
interference	插手
interferon	干擾素
interim	過渡
interior	裡面
interject	穿插
interjection	感嘆詞
interleave	套疊
interlinked	相通
interlude	插曲
intermarry	通婚
intermediary	媒
intermediate	中間
intermittence	間歇
intermittent	時斷時續
internal	對內
international	國際
internationalism	國際主義
internationalization	國際化
internationalize	國際化
internet	電腦網
interneuron	中間神經元
interoperability	互操性
interoperate	互通
interpersonal	人際
interplanetary	行星際
interplay	相互作用
interpolation	插值
interpose	插話
interpret	解釋
interpretation	傳譯
interpreter	傳譯員
interpreting	口譯
interrelated	相關
interrogate	訊問
interrogation	問號
interrogatory	質詢
interrupt	打斷
interrupted	間斷
interruption	打岔
interschool	校際
intersect	交叉
intersection	十字路口
intersperse	夾
interstellar	星際
interstice	間
intertwine	交錯
interval	間隔
intervene	介入
interview	面試
interviewer	訪問者
interweave	交織
intestine	腸
intestines	腸道
intimacy	昵愛
intimate	知心
intimidate	威迫
intolerable	要不得
intolerant	心窄
intonation	發聲法
intoxicate	使醉
intoxicated	醉
intractable	棘手
intranet	內部網
intrinsic	內在
introduce	引進
introduction	前言
introspection	反觀
intrude	擠入
intruder	入侵者
intuition	直覺
intuitive	直觀
intuitiveness	直覺性
inuit	因紐特人
inundate	泛濫
inundation	洪澇
invade	打進
invader	侵入者
invaders	侵略者
invalid	病人
invalidate	廢棄
invaluable	無價
invariably	不變化
invasion	侵略
invent	發明
invented	杜撰
invention	發明
